en,fr
home,domicile
business,travail
education,études
shipping,achats
personal business,démarches personnelles
escort trips,accompagnement
leisure,loisirs
other purposes,autres motifs
walking,marche à pied
cycling,vélo
car,véhicule particulier
public transport,transport en commun
male,homme
female,femme
full-time employment,travail a plein temps
part-time employment,travail a temps partiel
internship,stage
university student,etudiant
school student,scolaire
unemployed,chomeur
retired,retraite
stay at home,reste au foyer
other,autre
farmers,agriculteurs exploitants
business owners and shop keepers,"artisans, commerçants et chefs d’entreprise"
executives and professionals,cadres et professions intellectuelles supérieures
technicians and associate professionals,professions intermédiaires
employees,employés
blue collar workers,ouvriers
no professional activity,sans activité professionnelle
apprentis,apprentices
compulsory,imposes
partially chosen,en partie choisis
totally free,totalement libres
day,de jour
night,de nuit
2x8,poste en 2 x 8
3x8,poste en 3 x 8
everyday,tous les jours
twice-week,2 deplacements par semaine au minimum
twice-month,2 deplacements par mois au minimum
rarely,exceptionnellement
never,jamais
